points_3game_avg,points_5game_avg,fga_3game_avg,game_number,def_rating,opp_pts_allowed,pace,is_home_game,target
10.333333333333334,8.4,6.333333333333333,33,111.1,0.0,99.46,0.0,1
12.0,9.8,7.666666666666667,34,111.1,0.0,99.46,0.0,1
14.333333333333334,11.4,10.0,35,111.1,0.0,99.46,0.0,0
8.666666666666666,9.2,7.333333333333333,36,111.1,0.0,99.46,0.0,0
5.333333333333333,9.8,4.666666666666667,37,111.1,0.0,99.46,0.0,0
3.3333333333333335,7.2,3.3333333333333335,38,111.1,0.0,99.46,0.0,0
8.0,6.8,6.0,39,111.1,0.0,99.46,0.0,1
8.666666666666666,6.4,7.666666666666667,40,111.1,0.0,99.46,0.0,1
8.0,6.8,6.666666666666667,41,111.1,0.0,99.46,0.0,0
14.0,12.0,10.333333333333334,42,111.1,0.0,99.46,0.0,1
24.333333333333332,19.0,15.333333333333334,43,111.1,0.0,99.46,0.0,1
30.333333333333332,20.2,18.333333333333332,44,111.1,0.0,99.46,0.0,0
23.666666666666668,21.0,16.666666666666668,45,111.1,0.0,99.46,0.0,0
13.666666666666666,22.4,13.0,46,111.1,0.0,99.46,0.0,0
14.333333333333334,20.4,14.0,47,111.1,0.0,99.46,0.0,1
14.0,14.8,12.333333333333334,48,111.1,0.0,99.46,0.0,0
18.333333333333332,15.2,13.0,49,111.1,0.0,99.46,0.0,1
13.666666666666666,14.4,11.666666666666666,50,111.1,0.0,99.46,0.0,0
13.0,14.4,10.333333333333334,51,111.1,0.0,99.46,0.0,0
10.333333333333334,12.8,7.666666666666667,52,111.1,0.0,99.46,0.0,1
10.666666666666666,12.4,7.0,53,111.1,0.0,99.46,0.0,0
14.333333333333334,12.0,8.0,54,111.1,0.0,99.46,0.0,1
11.333333333333334,11.4,7.333333333333333,55,111.1,0.0,99.46,0.0,0
15.666666666666666,14.0,8.666666666666666,56,111.1,0.0,99.46,0.0,1
12.333333333333334,13.2,8.0,57,111.1,0.0,99.46,0.0,0
13.0,12.8,8.333333333333334,58,111.1,0.0,99.46,0.0,0
10.333333333333334,11.6,8.333333333333334,59,111.1,0.0,99.46,0.0,1
10.333333333333334,12.6,8.333333333333334,60,111.1,0.0,99.46,0.0,0
11.666666666666666,10.4,8.666666666666666,61,111.1,0.0,99.46,0.0,1
12.666666666666666,11.8,7.666666666666667,62,111.1,0.0,99.46,0.0,1
11.0,11.4,7.333333333333333,63,111.1,0.0,99.46,0.0,0
12.666666666666666,11.8,9.0,64,111.1,0.0,99.46,0.0,1
14.666666666666666,14.4,11.0,65,111.1,0.0,99.46,0.0,1
18.333333333333332,15.4,13.333333333333334,66,111.1,0.0,99.46,0.0,1
16.666666666666668,14.2,13.0,67,111.1,0.0,99.46,0.0,0
14.333333333333334,16.4,11.0,68,111.1,0.0,99.46,0.0,0
13.0,15.6,9.0,69,111.1,0.0,99.46,0.0,0
12.333333333333334,12.8,8.666666666666666,70,111.1,0.0,99.46,0.0,0
9.0,10.8,8.333333333333334,71,111.1,0.0,99.46,0.0,0
7.333333333333333,10.0,9.333333333333334,72,111.1,0.0,99.46,0.0,0
11.0,10.8,12.333333333333334,73,111.1,0.0,99.46,0.0,1
17.0,13.2,13.666666666666666,74,111.1,0.0,99.46,0.0,1
16.666666666666668,12.6,12.666666666666666,75,111.1,0.0,99.46,0.0,0
10.0,11.4,7.0,76,111.1,0.0,99.46,0.0,0
5.333333333333333,12.0,6.0,77,111.1,0.0,99.46,0.0,0
4.0,8.4,5.0,78,111.1,0.0,99.46,0.0,0
7.333333333333333,5.6,7.0,79,111.1,0.0,99.46,0.0,1
11.333333333333334,8.8,9.0,80,111.1,0.0,99.46,0.0,1
14.666666666666666,11.2,11.0,81,111.1,0.0,99.46,0.0,1
17.0,12.6,11.0,82,111.1,0.0,99.46,0.0,1
23.0,23.0,21.0,1,110.8,0.0,97.97,1.0,1
24.5,24.5,17.5,2,110.8,0.0,97.97,1.0,1
27.333333333333332,27.333333333333332,18.666666666666668,3,110.8,0.0,97.97,1.0,1
25.0,24.5,15.333333333333334,4,110.8,0.0,97.97,1.0,0
23.666666666666668,24.0,14.0,5,110.8,0.0,97.97,1.0,0
24.666666666666668,26.6,16.0,6,110.8,0.0,97.97,1.0,1
24.333333333333332,24.4,17.666666666666668,7,110.8,0.0,97.97,1.0,0
35.0,28.6,22.666666666666668,8,110.8,0.0,97.97,1.0,1
34.666666666666664,32.4,21.0,9,110.8,0.0,97.97,1.0,1
41.333333333333336,35.0,23.0,10,110.8,0.0,97.97,1.0,0
28.666666666666668,31.0,18.0,11,110.8,0.0,97.97,1.0,0
30.333333333333332,36.0,19.333333333333332,12,110.8,0.0,97.97,1.0,1
32.666666666666664,33.6,19.666666666666668,13,110.8,0.0,97.97,1.0,1
34.333333333333336,30.8,23.0,14,110.8,0.0,97.97,1.0,0
31.333333333333332,30.0,20.666666666666668,15,110.8,0.0,97.97,1.0,0
28.333333333333332,33.4,20.0,16,110.8,0.0,97.97,1.0,1
32.333333333333336,32.0,18.666666666666668,17,110.8,0.0,97.97,1.0,1
30.666666666666668,28.8,18.0,18,110.8,0.0,97.97,1.0,0
30.333333333333332,31.0,17.666666666666668,19,110.8,0.0,97.97,1.0,1
31.0,31.8,19.666666666666668,20,110.8,0.0,97.97,1.0,1
34.666666666666664,32.6,20.333333333333332,21,110.8,0.0,97.97,1.0,1
34.666666666666664,32.4,18.0,22,110.8,0.0,97.97,1.0,0
44.333333333333336,40.0,20.0,23,110.8,0.0,97.97,1.0,1
39.333333333333336,38.0,16.666666666666668,24,110.8,0.0,97.97,1.0,0
37.333333333333336,36.2,19.666666666666668,25,110.8,0.0,97.97,1.0,0
19.666666666666668,31.0,14.333333333333334,26,110.8,0.0,97.97,1.0,0
24.666666666666668,32.0,19.666666666666668,27,110.8,0.0,97.97,1.0,1
25.333333333333332,24.8,18.0,28,110.8,0.0,97.97,1.0,1
32.333333333333336,26.8,22.0,29,110.8,0.0,97.97,1.0,1
